date	region_id	email_opens	avg_order_value	social_likes	total_site_visits	total_orders
2020-01-01	1	3229	33.15	256	56075	464
2020-01-01	2	8421	51.89	998	159320	739
2020-01-01	3	8859	45.41	1049	154371	737
2020-01-01	4	5740	43.5	683	111904	786
2020-01-01	5	5420	46.56	460	157213	712
2020-01-01	6	7449	16.02	387	158528	801
2020-01-01	7	9710	32.31	80	253953	648
2020-01-01	8	1934	50.51	449	96504	256
2020-01-01	9	12012	13.92	483	246861	788
2020-01-01	10	3480	14.96	387	83546	449
2020-01-01	11	3975	17.38	1067	123195	722
2020-01-01	12	6844	24.11	393	226796	809
2020-01-01	13	5169	28.68	274	161798	755
2020-01-01	14	7926	19.43	531	216229	765
2020-01-01	15	12603	26.09	1072	240704	1203
2020-01-01	16	14216	44.21	298	318420	825
2020-01-01	17	8255	23.34	955	172714	1187
2020-01-01	18	9345	20.35	136	307566	1037
2020-01-01	19	4710	22.57	389	141624	585
2020-01-01	20	9178	9.85	559	297786	436
2020-01-02	1	6562	42.6	652	215060	715
2020-01-02	2	1139	36.6	130	26220	249
2020-01-02	3	4567	13.04	1019	87174	584
2020-01-02	4	3667	31.42	784	99056	362
2020-01-02	5	5546	24.05	931	124969	671
2020-01-02	6	1365	11.59	777	26339	500
2020-01-02	7	12187	36.34	952	233403	874
2020-01-02	8	9349	24.27	614	298420	1066
2020-01-02	9	10807	21.81	648	270758	969
2020-01-02	10	6102	6.28	327	144596	780
2020-01-02	11	8346	19.63	754	225561	721
2020-01-02	12	19477	25.01	128	427518	439
2020-01-02	13	4961	14.09	1105	104082	558
2020-01-02	14	5391	24.48	829	164508	691
2020-01-02	15	12890	22.04	138	246492	943
2020-01-02	16	5563	45.33	372	357986	581
2020-01-02	17	11518	52.68	891	206477	889
2020-01-02	18	9208	30.82	316	244518	937
2020-01-02	19	8241	38	573	266708	1074
2020-01-02	20	3963	15.49	227	105281	611
2020-01-03	1	16662	26.07	1003	319046	1077
2020-01-03	2	12467	35.34	126	323137	1040
2020-01-03	3	6230	42.78	380	216127	706
2020-01-03	4	3570	23.19	122	87181	365
2020-01-03	5	14569	53.04	965	203335	1136
2020-01-03	6	10544	13.99	88	216434	703
2020-01-03	7	6365	42.33	1019	187854	801
2020-01-03	8	5942	49.24	1101	191801	785
2020-01-03	9	6320	22.06	178	206306	796
2020-01-03	10	5239	48.94	800	157938	605
2020-01-03	11	7327	15.05	64	167524	660
2020-01-03	12	12552	44.85	124	236775	928
2020-01-03	13	15922	22.07	160	308690	903
2020-01-03	14	3811	10	718	113442	393
2020-01-03	15	10918	47.27	880	306005	1013
2020-01-03	16	10538	31.69	471	277776	951
2020-01-03	17	4397	44.72	957	125121	391
2020-01-03	18	10001	5.55	754	317682	894
2020-01-03	19	4728	38.41	168	97660	397
2020-01-03	20	5053	27	309	142616	741
2020-01-04	1	5681	26.33	799	167481	768
2020-01-04	2	7387	24.53	193	182106	735
2020-01-04	3	8837	6.7	585	221050	762
2020-01-04	4	6796	46.96	932	154652	662
2020-01-04	5	4509	20.4	91	121476	629
2020-01-04	6	6624	33.46	474	157084	784
2020-01-04	7	11198	42.88	384	307123	1422
2020-01-04	8	9327	15.15	498	212232	495
2020-01-04	9	7519	43.61	880	231066	792
2020-01-04	10	10339	52.48	596	282508	689
2020-01-04	11	7112	30.3	374	210449	782
2020-01-04	12	8662	51.01	520	265725	936
2020-01-04	13	3950	14.93	663	96326	457
2020-01-04	14	22639	50.63	221	428229	1072
2020-01-04	15	9139	24.58	473	231381	897
2020-01-04	16	3026	15.06	460	57757	484
2020-01-04	17	7227	47.6	359	196167	728
2020-01-04	18	5601	43.53	154	181634	658
2020-01-04	19	14708	16.88	825	390429	1199
2020-01-04	20	4231	37.71	943	137721	537
2020-01-05	1	24194	28.72	930	228507	1295
2020-01-05	2	2505	52.39	194	64834	433
2020-01-05	3	6996	30.65	66	206836	835
2020-01-05	4	13417	33.85	870	243510	798
2020-01-05	5	4940	23.31	614	91480	446
2020-01-05	6	5564	36.78	395	168144	692
2020-01-05	7	5673	23.38	603	130944	535
2020-01-05	8	9481	28.26	1071	226415	896
2020-01-05	9	3325	22.57	465	93034	251
2020-01-05	10	4997	17.52	642	98053	569
2020-01-05	11	4158	9.3	1015	77089	397
2020-01-05	12	6419	38.74	292	164707	853
2020-01-05	13	12642	25.7	1112	238618	900
2020-01-05	14	13455	28.6	212	257743	927
2020-01-05	15	3421	48.27	133	82388	450
2020-01-05	16	14469	39.32	78	354337	1079
2020-01-05	17	12510	19.95	74	281024	899
2020-01-05	18	11411	5.54	304	222793	667
2020-01-05	19	10025	30.22	804	261485	852
2020-01-05	20	6348	26.31	995	154149	713
2020-01-06	1	15961	19.97	252	307435	1107
2020-01-06	2	5510	24.03	539	147107	548
2020-01-06	3	4775	30.84	356	127973	631
2020-01-06	4	20336	41.58	892	393678	1283
2020-01-06	5	3840	11.67	877	106793	375
2020-01-06	6	12648	29.33	979	259736	975
2020-01-06	7	15014	6.96	81	425767	1308
2020-01-06	8	7158	16	894	195874	758
2020-01-06	9	6236	35.55	468	167295	596
2020-01-06	10	5423	8.9	409	151434	672
2020-01-06	11	7065	50.61	93	200549	826
2020-01-06	12	9855	30.77	658	259059	867
2020-01-06	13	13529	36.78	990	236981	759
2020-01-06	14	4864	14.38	91	158575	580
2020-01-06	15	7310	11.2	380	200118	879
2020-01-06	16	3949	14.97	519	126018	549
2020-01-06	17	7812	21.52	364	217215	841
2020-01-06	18	6249	50.89	778	138391	607
2020-01-06	19	10254	39.97	76	315750	1113
2020-01-06	20	1895	50.17	429	30001	485
2020-01-07	1	8657	9.22	1118	245448	822
2020-01-07	2	10506	6.16	568	296712	879
2020-01-07	3	11625	26.32	1079	278449	890
2020-01-07	4	13981	52.76	622	300395	1048
2020-01-07	5	7885	30.42	430	150706	685
2020-01-07	6	9571	48.88	1110	320233	1107
2020-01-07	7	12624	38.75	81	231254	780
2020-01-07	8	9869	48.09	543	271797	866
2020-01-07	9	1883	26.3	819	38211	615
2020-01-07	10	11452	44.51	1003	288645	918
2020-01-07	11	5656	52.13	613	136472	529
2020-01-07	12	8747	50.98	478	159885	732
2020-01-07	13	10607	36.91	346	361850	1118
2020-01-07	14	10047	20.36	78	258266	985
2020-01-07	15	6077	40.93	805	183333	772
2020-01-07	16	11353	45.48	1085	292918	971
2020-01-07	17	5292	37.34	207	148703	568
2020-01-07	18	6683	27.65	458	226500	743
2020-01-07	19	5188	25.44	681	96684	605
2020-01-07	20	10150	25.19	587	215613	905
2020-01-08	1	8002	51.4	677	223060	886
2020-01-08	2	15176	50.89	78	386874	1201
2020-01-08	3	7257	6.03	965	212697	723
2020-01-08	4	11644	23.21	1120	352192	1007
2020-01-08	5	8376	31.18	600	268242	952
2020-01-08	6	2828	44.32	1120	82752	292
2020-01-08	7	11074	29.25	184	258316	916
2020-01-08	8	10072	31.75	957	175130	848
2020-01-08	9	10833	15.93	909	306400	978
2020-01-08	10	8529	28.86	543	178336	690
2020-01-08	11	13639	35.83	96	312945	930
2020-01-08	12	6934	21.88	407	161337	690
2020-01-08	13	2233	8.23	382	32886	193
2020-01-08	14	3610	7.99	287	88776	638
2020-01-08	15	5521	9.02	754	96083	498
2020-01-08	16	5271	21.08	147	100105	564
2020-01-08	17	6846	42.97	103	142771	620
2020-01-08	18	10055	18.83	357	254200	854
2020-01-08	19	11367	16.92	757	296585	944
2020-01-08	20	16400	51.02	191	400461	1120
2020-01-09	1	6534	42.43	869	112947	578
